customer_id,region,plan,tenure_months,tickets_90d,usage_score,late_payments,label
C00664,north,basic,58,2,67.29,0,0
C00665,west,premium,52,2,60.56,2,1
C00666,south,premium,9,1,38.98,0,1
C00667,east,basic,4,0,35.02,1,1
C00668,east,basic,9,3,67.29,0,1
C00669,east,premium,13,0,43.24,2,1
C00670,west,basic,6,3,88.58,3,1
C00671,north,pro,66,0,82.22,0,0
C00672,east,pro,8,4,64.15,1,1
C00673,west,basic,65,0,39.97,0,0
C00674,west,pro,37,8,71.5,1,1
C00675,south,basic,1,0,41.44,2,1
C00676,east,basic,63,2,80.91,0,0
C00677,west,premium,23,2,48.27,0,0
C00678,west,basic,7,0,71.82,0,0
C00679,east,premium,63,1,32.67,1,0
C00680,east,premium,28,0,58.97,0,0
C00681,west,pro,34,8,66.95,0,1
C00682,north,pro,48,1,58.61,0,0
C00683,west,premium,5,0,67.34,1,0
C00684,north,pro,9,0,91.01,0,0
C00685,east,basic,25,1,54.89,0,0
C00686,west,pro,16,2,40.13,0,1
C00687,west,basic,56,6,58.39,0,1
C00688,east,pro,65,0,60.12,1,0
C00689,east,pro,28,3,79.09,1,1
C00690,south,basic,44,1,69.94,2,1
C00691,west,basic,27,1,100.0,0,0
C00692,west,pro,4,1,22.36,1,1
C00693,east,premium,26,0,62.53,1,0
C00694,south,basic,37,0,77.32,0,0
C00695,east,basic,47,2,63.24,0,0
C00696,south,pro,72,1,99.16,1,0
C00697,north,pro,47,3,56.73,0,0
C00698,south,premium,29,1,71.78,0,0
C00699,north,premium,49,1,45.7,1,0
C00700,east,premium,15,0,59.21,1,0
C00701,west,premium,68,1,67.83,0,0
C00702,south,pro,57,0,81.93,3,1
C00703,west,pro,14,1,41.36,0,0
C00704,north,pro,60,6,71.95,0,1
C00705,south,pro,52,0,67.5,0,0
C00706,east,pro,62,1,74.43,2,0
C00707,south,basic,34,1,75.73,0,0
C00708,south,pro,23,3,34.26,1,1
C00709,south,basic,35,0,48.27,0,0
C00710,south,pro,54,1,65.77,1,0
C00711,west,premium,44,1,45.53,1,1
C00712,east,basic,69,1,94.9,0,0
C00713,north,basic,54,1,52.63,1,1
C00714,south,premium,45,0,75.37,0,0
C00715,west,basic,67,1,43.92,0,0
C00716,south,pro,55,1,4.5,3,1
C00717,south,premium,2,0,82.85,1,0
C00718,south,pro,31,1,37.08,2,1
C00719,east,pro,19,2,50.77,0,1
C00720,east,basic,40,0,67.9,3,1
